"平成３０年４月１日から平成３１年１月１７日まで"
"当初契約日","執行課名","事業担当課","工事番号","工事名","工事場所　","契約業者名","予定価格","当初全体契約額","見積業者数","入札形式","随契理由"
"20190104","海草振興局建設部","河川・下水道局　河川課","平成３０年度　河修　第２０３号－２","加茂川外河川修繕工事","海南市下津町小松原外地内","落合組","2986200.0","2905200.0","3","随意契約","地方自治法施行令167条の2第1項5号　緊急の必要"
"20190104","海草振興局建設部","河川・下水道局　河川課","平成３０年度　河修　第２０１号－１４","亀の川河川修繕外合併工事","海南市岡田外地内","湯川工務店","7171200.0","6955200.0","3","随意契約","地方自治法施行令167条の2第1項5号　緊急の必要"
"20181226","西牟婁振興局建設部","河川・下水道局　砂防課","平成３０年度　砂防　第１２３号－２","伏拝地区砂防（地すべり）調査業務","田辺市本宮町伏拝地内","株式会社白浜試錐","22110840.0","19980000.0","3","随意契約","地方自治法施行令167条の2第1項5号　緊急の必要"
"20181225","有田振興局建設部","河川・下水道局　砂防課","平成３０年度　災がけ　第１１号","清水１０９地区災害緊急がけ崩れ対策工事","有田郡有田川町清水地内","織本組","4072680.0","3990600.0","3","随意契約","地方自治法施行令167条の2第1項8号　入札者・落札者なし"
"20181221","西牟婁振興局建設部","河川・下水道局　砂防課","平成３０年度　災関急　第１号－３","東江原地区災害関連緊急急傾斜地崩壊対策工事","田辺市稲成町地内","株式会社目良組","1534680.0","1458000.0","3","随意契約","地方自治法施行令167条の2第1項5号　緊急の必要"
"20181217","都市住宅局　都市政策課","都市住宅局　都市政策課","平成３０年度　県単公整　第３号－４","和歌公園健康館・万葉館ラック型非常放送設備防災アンプ修繕工事","和歌山市和歌浦南３丁目地内","第一電機設備工業株式会社","3607200.0","3510000.0","3","随意契約","地方自治法施行令167条の2第1項5号　緊急の必要"
"20181214","西牟婁振興局建設部","道路局　道路建設課","平成３０年度　道改交金　第１８号","国道４２５号道路改良設計業務","田辺市龍神村小家地内","有限会社龍和興業","4996080.0","4644000.0","3","随意契約","地方自治法施行令167条の2第1項8号　入札者・落札者なし"
"20181213","西牟婁振興局建設部","港湾空港局　港湾漁港整備課","平成３０年度　３０港国災　第３号","日置港第二航路災害復旧工事","西牟婁郡白浜町日置地先","日置川開発株式会社","76165920.0","71064000.0","3","随意契約","地方自治法施行令167条の2第1項5号　緊急の必要"
"20181212","日高振興局建設部","河川・下水道局　砂防課","平成２９年度　砂修　第６号－３０","富安川砂防修繕工事","御坊市湯川町富安地内","中岡建材","5022000.0","4989600.0","3","随意契約","地方自治法施行令167条の2第1項8号　入札者・落札者なし"
"20181205","西牟婁振興局建設部","道路局　道路建設課","平成３０年度　小道改　第６０２号－３","秋津川田辺線外小規模道路改良外合併設計業務","田辺市上芳養地内","株式会社中央測量","5047920.0","4795200.0","3","随意契約","地方自治法施行令167条の2第1項8号　入札者・落札者なし"
"20181204","日高振興局建設部","河川・下水道局　河川課","平成３０年度　防交金　第２０７号－７","西川河川整備調査業務","日高郡美浜町田井（外）地内","株式会社タニガキ建工","7527600.0","7149600.0","3","随意契約","地方自治法施行令167条の2第1項8号　入札者・落札者なし"
"20181203","海草振興局建設部","河川・下水道局　砂防課","平成２９年度　緊地　第２号－７","奥佐々地区緊急地すべり対策外合併工事","海草郡紀美野町奥佐々地内","株式会社吉田組","71235720.0","69368400.0","3","随意契約","地方自治法施行令167条の2第1項5号　緊急の必要"
"20181130","伊都振興局建設部","道路局　道路建設課","平成３０年度　道改交金　第１０２号－１０","山内恋野線　道路改良工事","橋本市隅田町芋生外地内","株式会社森本組","86006880.0","85860000.0","3","随意契約","地方自治法施行令167条の2第1項5号　緊急の必要"
"20181128","西牟婁振興局建設部","河川・下水道局　砂防課","平成３０年度　災関急　第１号","東江原地区災害関連緊急急傾斜地崩壊対策工事","田辺市稲成町地内","株式会社かねやす建設","36379800.0","34560000.0","3","随意契約","地方自治法施行令167条の2第1項5号　緊急の必要"
"20181126","伊都振興局建設部","道路局　道路建設課","平成３０年度　地特　第１号－３","山内恋野線　地方特定道路整備工事","橋本市隅田町芋生地内","株式会社城野組","86528520.0","86528520.0","3","随意契約","地方自治法施行令167条の2第1項5号　緊急の必要"
